img_path,type,severity,description
pressure_wounds_201.png,Pressure,Moderate,"The wound is a small, deep puncture site with surrounding erythematous skin. There is no bleeding but there is a noticeable amount of fluid or pus around the wound. The wound edges are not well defined and there are visible signs of infection."
burns_17.png,Burn,Moderate,"Circular, reddish-brown patches on the skin with no visible bleeding but potential for infection due to the size and color."
venous_wounds_338.png,Venous,Severe,"The wound is approximately 4 inches in diameter with a base of charred tissue. The wound edges are ragged and adherent to the surrounding skin. The peri-wound skin is red and swollen. The wound is exuding a moderate amount of clear, yellowish fluid. The wound has a foul odor. There are signs of possible infection."
bruises_65.png,Bruises,Mild,"The image shows a cluster of small, irregularly shape on the skin. The area appears slightly raised and discolored, with a range of purple to pink hues. There is no visible bleeding, and the surrounding skin looks intact without any signs of infection."
diabetic_wounds_42.png,Diabetic,Moderate,"A wound is present on the finger, characterized by a deep entry point with surrounding tissue damage. The wound appears clean but may require further assessment for potential infection."
surgical_wounds_328.png,Surgical,Moderate,"The wound is a linear incision located on the lower leg. The wound is bleeding and surrounded by bruising. The wound is approximately 2-3 cm long and extends through the skin, possibly involving subcutaneous tissue. There is no evidence of significant swelling or infection at the time of the image."
surgical_wounds_162.png,Surgical,Mild,"A small wound with a visible red blood clot at the center. The wound appears to be shallow, with minimal surrounding redness and no signs of significant tissue damage or infection."
surgical_wounds_386.png,Surgical,Severe,"The wound is deep, with a charred, necrotic area at the center surrounded by a ring of erythema and edema. The surrounding skin is dry, with no visible bleeding. The risk of infection is high due to the extent of tissue damage."
diabetic_wounds_246.png,Diabetic,Moderate,"A wound on the toe with a jagged edge, exhibiting significant redness and swelling. The wound appears to be deep, with some tissue loss and potential for infection."
diabetic_wounds_431.png,Diabetic,Severe,"The wound is a deep, extensive injury. There is exposed bone and active bleeding. The surrounding area is inflamed, and there is a high risk of infection."
diabetic_wounds_303.png,Diabetic,Severe,The wound is deep and large with exposed bone. The wound base is inflamed and has a high risk of infection.
venous_wounds_214.png,Venous,Severe,"The wound appears to be a exposed tissue, significant redness, and potential for infection due to the size and depth of the lesion."
pressure_wounds_259.png,Pressure,Moderate,The wound is approximately 2 cm in length with jagged edges. There is visible bleeding from the wound edges. The wound base is dark red with moderate swelling. The surrounding skin is red and irritated. There is no evidence of infection.
diabetic_wounds_398.png,Diabetic,Severe,"The wound measures 4.5 cm in length and 3.2 cm in width. The base is 1.5 cm deep and has a necrotic tissue. There is a dark, serous exudate that is oozing from the wound. The edges are irregular and there is a significant peri-wound erythema."
