metric,average_value
teacher_test_modality_acc,0.9539
teacher_test_location_acc,0.8189
teacher_test_modality_f1,0.9538
teacher_test_location_f1,0.7743
teacher_test_modality_prec,0.9553
teacher_test_location_prec,0.8085
teacher_test_modality_rec,0.9539
teacher_test_location_rec,0.7749
teacher_test_modality_auc,0.9922
teacher_test_location_auc,0.9441
teacher_test_infer_ms,13.1600
teacher_test_type_acc,
teacher_test_severity_acc,
teacher_test_type_f1,
teacher_test_severity_f1,
teacher_test_type_prec,
teacher_test_severity_prec,
teacher_test_type_rec,
teacher_test_severity_rec,
teacher_test_type_auc,
teacher_test_severity_auc,
