epoch,train_loss,dev_modality_acc,dev_location_acc,dev_modality_f1,dev_location_f1,dev_modality_prec,dev_location_prec,dev_modality_rec,dev_location_rec,dev_modality_auc,dev_location_auc,dev_infer_ms
1,1.725073942198203,0.8324873096446701,0.5025380710659898,0.8252842054341691,0.39652264102374035,0.8359478568272205,0.4090485472941613,0.8203750526759377,0.43561946299577486,0.8883270122208176,0.7693237078524052,16.533579318051412
2,1.4763660344939966,0.8578680203045685,0.5025380710659898,0.8500434971726838,0.3051885818951061,0.8706110351117191,0.2751724137931034,0.8424989464812473,0.3470637408568443,0.9481668773704172,0.8139843658403214,15.862612554869676
3,1.2366513134195254,0.9390862944162437,0.5786802030456852,0.9373276776246023,0.4809984797810885,0.9408119658119658,0.500584374821663,0.9346818373367045,0.5106892008541184,0.9856721449641803,0.8343791213294379,16.5248558605988
4,1.0825295923994138,0.8730964467005076,0.5989847715736041,0.8635923002354244,0.4924071120562349,0.9035679845708775,0.485570448070448,0.8527180783817951,0.5108300395256917,0.9734513274336283,0.8460936962624614,13.009287984238059
5,1.0339156423623745,0.9289340101522843,0.5431472081218274,0.92633547008547,0.4594511472813382,0.9348086124401913,0.5156169912373586,0.9212494732406237,0.49607923311071744,0.9654445849136114,0.8449588626586912,16.336449511765224
6,0.8724133555705731,0.8934010152284264,0.6548223350253807,0.8920547945205479,0.5268917490403902,0.8900580551523948,0.5148513708513709,0.8963864306784661,0.5577093271546045,0.9623893805309734,0.8595450714906834,13.517015476517265
7,0.778038351295086,0.8071065989847716,0.6294416243654822,0.7818764568764569,0.5642159205783666,0.8741721854304636,0.6191149068322981,0.7738095238095238,0.5414392803598201,0.8971765697429414,0.8593993801656101,16.332512579593562
8,0.7426094315372981,0.9137055837563451,0.6294416243654822,0.9116568624864807,0.5036881638475044,0.9123335447051364,0.4866741126830479,0.9110303413400759,0.5343846258688837,0.9613358617783396,0.8695213443009452,5.584588510735991
9,0.6460217395080969,0.9035532994923858,0.6446700507614214,0.9012635521907726,0.5366695763595812,0.9019234834073134,0.5583828480887304,0.900653181626633,0.5512166643950752,0.9771386430678466,0.8630118657377188,15.92291551193005
10,0.6481315714235489,0.9187817258883249,0.6091370558375635,0.9174523360569872,0.4907705887844915,0.9156588824020017,0.4757037037037038,0.9200379266750949,0.5185625369133615,0.9692372524230931,0.8705108223569351,5.5967103406257435
