epoch,train_loss,dev_type_acc,dev_severity_acc,dev_type_f1,dev_severity_f1,dev_type_prec,dev_severity_prec,dev_type_rec,dev_severity_rec,dev_type_auc,dev_severity_auc,dev_infer_ms
1,2.7411597276079482,0.32340425531914896,0.676595744680851,0.14835319660014784,0.6494677745607277,0.22142531556802245,0.6913981307867846,0.2353478260869565,0.6268315018315018,0.7904832886352331,0.8379977907249699,23.492208440253073
2,2.3728041925292085,0.40425531914893614,0.6127659574468085,0.2618394074900256,0.49198168772756484,0.37870287459245994,0.7163531353135314,0.26259502189936973,0.49282661782661785,0.8332643880506112,0.8412275161208811,18.508362262806994
3,2.0551277485446655,0.574468085106383,0.7021276595744681,0.39820356942983837,0.660859853255387,0.5140038879688962,0.6574311262095313,0.4317034354208268,0.7364163614163614,0.8934173637254315,0.8648306077808448,23.930439035943216
4,1.6177811631257983,0.5276595744680851,0.774468085106383,0.4982533368682091,0.7598562146791138,0.6336285879335284,0.7523766507506345,0.5438678231286928,0.7706654456654456,0.9104457972429753,0.8975463454625828,18.046713889913356
5,1.3336619026419045,0.6553191489361702,0.7574468085106383,0.6543076292575151,0.7411156095366621,0.7014654424522846,0.731407011623547,0.63630326312935,0.756013431013431,0.9289998059497414,0.8925063264116427,23.404806218248734
6,1.151726473932681,0.7021276595744681,0.7787234042553192,0.6094745850639895,0.7656160731289278,0.6936274509803921,0.7446120689655172,0.6266727941075768,0.7974358974358974,0.9548010565527244,0.9112622447116575,23.8717109599012
7,0.9367001946421637,0.6893617021276596,0.7787234042553192,0.6096149355015408,0.782219896505611,0.6527797292566228,0.8396825396825397,0.6410259313737575,0.7498473748473748,0.9457317059945896,0.9121140318610955,7.3217432549659245
8,0.8189700248016827,0.7276595744680852,0.8127659574468085,0.669914956616078,0.808905699551591,0.7088930210248684,0.813188962861914,0.6692351025394504,0.8062881562881564,0.9619328268211846,0.9246257879500205,23.64990153211228
9,0.7740152733049531,0.6680851063829787,0.676595744680851,0.6294305649584719,0.6872934472934472,0.6962980853834513,0.728049728049728,0.6493232615406528,0.7115995115995116,0.940107343249491,0.8721297111890559,22.841796469181144
10,0.6673373186933822,0.7489361702127659,0.7446808510638298,0.6761761904313055,0.7381630714964048,0.6762482695624864,0.7205192468350363,0.6886477474738344,0.7623321123321123,0.9384380652802211,0.8880527481501107,6.738332991904401
