epoch,train_loss,dev_type_acc,dev_severity_acc,dev_type_f1,dev_severity_f1,dev_type_prec,dev_severity_prec,dev_type_rec,dev_severity_rec,dev_type_auc,dev_severity_auc,dev_infer_ms
1,38.60456933837006,0.5446808510638298,0.8893617021276595,0.34794003864800327,0.8633378932968535,0.38619992225885175,0.8390179256469276,0.41852020795499056,0.9118437118437118,0.9011140387683982,0.9752360860247734,4.600061254298433
2,28.004745400470235,0.574468085106383,0.8851063829787233,0.5049544294863988,0.8591244573601693,0.5853162439336161,0.8471380471380471,0.5121581589190285,0.8935286935286936,0.9368997626646951,0.9814948222134499,4.581245462945167
3,23.519240476083063,0.6553191489361702,0.9234042553191489,0.6015401842531728,0.9110016093234927,0.6633928571428571,0.942119762215456,0.5864375080462036,0.8882478632478632,0.9342891321687972,0.9759971837047873,4.469082203317195
4,21.532490135966867,0.7702127659574468,0.9148936170212766,0.7213582059146036,0.888315639385021,0.7708100325904806,0.9000845897397621,0.7219457076413599,0.8782661782661783,0.9533456499231674,0.9743455719856916,4.630235915488385
5,20.079659738402437,0.7829787234042553,0.9446808510638298,0.7693555405821101,0.9374287323510195,0.813854123994789,0.9231029717287645,0.7713538932669367,0.955921855921856,0.9646362771585506,0.9823563780435819,4.598827564969976
6,19.54422740659852,0.7617021276595745,0.9319148936170213,0.6954140979197906,0.920394004596849,0.7481361570472279,0.9245307620593661,0.7062190731321165,0.9169108669108669,0.966615201494389,0.9798917968493489,4.730049092718895
7,18.560560032941293,0.7914893617021277,0.8808510638297873,0.7787998358150704,0.8781981398861124,0.8351970958626602,0.8697574756398286,0.7773879461705548,0.8876068376068376,0.9658890331643827,0.9644858441350301,4.8052148616060295
8,18.203805342964504,0.8553191489361702,0.9148936170212766,0.8180903624869691,0.8984346596298788,0.8291788766788768,0.9264449291166849,0.8221460861895645,0.8773809523809524,0.9672278800449513,0.9736234251168313,4.726663548895654
9,17.733648369277734,0.825531914893617,0.9319148936170213,0.8011576216445174,0.9262515262515262,0.8159796848032143,0.9262515262515262,0.791373773895513,0.9262515262515262,0.97572694583305,0.9789003472544581,4.609212469547353
10,17.57643199312514,0.8382978723404255,0.9319148936170213,0.8007731815152281,0.9213406637196236,0.8548401731754135,0.9166903684550743,0.7966891522108913,0.9262515262515262,0.9701534302506788,0.9816399709455551,4.599191787395072
