epoch,train_loss,dev_type_acc,dev_severity_acc,dev_type_f1,dev_severity_f1,dev_type_prec,dev_severity_prec,dev_type_rec,dev_severity_rec,dev_type_auc,dev_severity_auc,dev_infer_ms
1,43.87846169955488,0.5914893617021276,0.8723404255319149,0.485227598507093,0.8475736034018242,0.5977295243084716,0.8396736178994244,0.5107705578792536,0.8731990231990232,0.9087163403608575,0.9686635624184562,4.86432136373317
2,30.757198748381242,0.6851063829787234,0.9191489361702128,0.5866669567915637,0.8979675633115741,0.6015238095238095,0.8876104991160071,0.6158852029286812,0.921062271062271,0.9350390548365715,0.9834040889661125,4.918634130599651
3,25.449904510940332,0.723404255319149,0.9063829787234042,0.6240141588502335,0.878729827005689,0.644287190958855,0.9057259340391871,0.6275816111033502,0.858943833943834,0.9542828950466855,0.9832543534073516,4.795274328678213
4,23.005399786907695,0.7617021276595745,0.9148936170212766,0.6723335466560727,0.9050038537990345,0.8000945707156888,0.9256682517968428,0.6668068335894424,0.8884920634920634,0.9549555101744598,0.9851348393270917,4.885980930734188
5,21.066136014634285,0.7659574468085106,0.9063829787234042,0.6883567013159954,0.8885588488500799,0.7026630529812905,0.8987981618946624,0.6991048814092292,0.8811660561660561,0.9610425196313701,0.9840872783145604,4.9312956789706615
6,19.889234294062074,0.7617021276595745,0.9148936170212766,0.6930064986172179,0.8981250927039249,0.6924107318512689,0.9362393162393161,0.7219002024219416,0.8733516483516484,0.9638207906692751,0.9868118682341844,4.878586911140604
7,18.786073380622312,0.8042553191489362,0.902127659574468,0.7669063310638169,0.8868912117692606,0.8009255189255189,0.8858201058201058,0.7707789903007294,0.8894993894993896,0.9626941282834913,0.9834454704159011,4.86930583385711
8,18.324904925581336,0.7957446808510639,0.902127659574468,0.7263736315347851,0.8847052843028739,0.719001789385741,0.894733121244256,0.7417416805677676,0.8775030525030525,0.9564370389028574,0.9838197225117687,4.8860691963358125
9,17.82809571252353,0.8127659574468085,0.9148936170212766,0.8078011032605543,0.8952143515785469,0.8580617495711836,0.9018703981342662,0.7884643625078407,0.8893772893772894,0.9663572830257126,0.9853619454283992,4.9436782268767665
10,17.456834019094273,0.7914893617021277,0.9234042553191489,0.759354655724526,0.9205050637268449,0.850139986184932,0.9094650205761315,0.72754988646293,0.9376068376068377,0.9532915793549387,0.9763035460696701,4.913937791864923
