epoch,train_loss,dev_type_acc,dev_severity_acc,dev_type_f1,dev_severity_f1,dev_type_prec,dev_severity_prec,dev_type_rec,dev_severity_rec,dev_type_auc,dev_severity_auc,dev_infer_ms
1,38.63242544644121,0.5106382978723404,0.8382978723404255,0.3040878864313856,0.8236435772804561,0.30465480879051815,0.8692483528304424,0.3366727913684436,0.8012210012210012,0.8942767088176768,0.9563463584785449,5.291915447153944
2,28.730535617773082,0.7021276595744681,0.8723404255319149,0.63821612745669,0.7880482323334276,0.6468451389879961,0.9068943298969071,0.6513183201444072,0.7504884004884005,0.9400152817046313,0.9742792972990788,5.240216153733274
3,23.97220619865086,0.7191489361702128,0.8382978723404255,0.6200746324261807,0.8035763888888888,0.6628196919238736,0.8031488866733133,0.6182430788952529,0.8634615384615385,0.9413568765797826,0.9715388703839146,5.214406074361598
4,21.771162834720336,0.7617021276595745,0.8595744680851064,0.6899073185097678,0.831771587585541,0.7002735366194256,0.8321395392047567,0.691141889837542,0.8604395604395605,0.9574067025201014,0.9659248440579576,5.280540344562937
5,19.85929583121037,0.7702127659574468,0.8765957446808511,0.7731621901250574,0.8811355431461667,0.7946276133776135,0.901277734611068,0.7642706866185127,0.8675213675213675,0.9595542231312788,0.969719460313938,5.9061375070125495
6,18.910738585651785,0.8127659574468085,0.9276595744680851,0.7967787217510754,0.9224267168931201,0.8298590003377239,0.9336865320471878,0.7914586295021078,0.9123626373626372,0.9688129716096924,0.9763596449074504,5.2890605114875955
7,18.0088566766269,0.825531914893617,0.9234042553191489,0.7979271841523363,0.9139597762880106,0.8064349805881179,0.9136729595547545,0.8007876185702274,0.9162698412698412,0.962482279344087,0.9821618426677153,5.277755412649602
8,17.88452054452205,0.6978723404255319,0.9234042553191489,0.6238340870673676,0.9151230227791314,0.6848841346836576,0.9113010446343779,0.6298598659468226,0.9256105006105005,0.9466535717928048,0.9836093813803478,5.532953586984188
9,17.277382670969203,0.7659574468085106,0.9234042553191489,0.7337860926356502,0.9171719002273552,0.7615475252327333,0.9445342432950191,0.7409258434475826,0.8958180708180709,0.9559450196562359,0.9713535529005343,5.276991458649331
10,16.81858223071997,0.7617021276595745,0.9148936170212766,0.6840611471861472,0.8998257469505716,0.7122765752765752,0.9136001559714795,0.6777609394131133,0.8884920634920634,0.9501660238223846,0.9821417381643015,5.281163276510036
